title;char;price
Смартфон Vivo Y20 4/64GB, синий;Диагональ экрана: 6.51Оперативная память: 4 ГБВстроенная память: 64 ГБРазрешение основной камеры: 13Процессор: Snapdragon 460 (8 ядер), 1.8 ГГц;10590
Смартфон Samsung Galaxy A12 4/128GB, синий;Диагональ экрана: 6.5Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 48Процессор: MT6765 (8 ядер), 2.3 ГГц;15980
Смартфон Xiaomi Redmi 9 4/64GB, фиолетовый;Диагональ экрана: 6.53Оперативная память: 4 ГБВстроенная память: 64 ГБРазрешение основной камеры: 13Процессор: Helio G85 (8 ядер), 2.0 ГГц;11434
Смартфон Apple iPhone 11 128GB, фиолетовый;Диагональ экрана: 6.1Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 12Процессор: A13 Bionic (6 ядер), 2.65 ГГц;52509
Смартфон Samsung Galaxy A12 3/32GB, красный;Диагональ экрана: 6.5Оперативная память: 3 ГБВстроенная память: 32 ГБРазрешение основной камеры: 48Процессор: Helio P35 (8 ядер), 2.3 ГГц;10910
Смартфон realme C15 3/64GB, синий;Диагональ экрана: 6.52Оперативная память: 4 ГБВстроенная память: 64 ГБРазрешение основной камеры: 13Процессор: Helio G35 (8 ядер), 2.3 ГГц;9980
Смартфон Xiaomi Redmi 9C 3/64GB, синий;Диагональ экрана: 6.53Оперативная память: 3 ГБВстроенная память: 64 ГБРазрешение основной камеры: 13Процессор: Helio P35 (8 ядер), 2.3 ГГц;10490
Смартфон Honor 10X LITE 4/128GB, зеленый;Диагональ экрана: 6.67Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 48Процессор: Kirin 710A (8 ядер), 2.0 ГГц;15890
Смартфон ZTE Blade 20 4/128GB, черный;Диагональ экрана: 6.49Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 16Процессор: Helio P60 (8 ядер), 2.0 ГГц;13490
Смартфон ZTE Blade A3 2020 1/32GB, сиреневый;Диагональ экрана: 5.45Оперативная память: 1 ГБВстроенная память: 32 ГБРазрешение основной камеры: 8Процессор: SC9832E (4 ядра), 1.3 ГГц;5290
Смартфон Samsung Galaxy A12 3/32GB, синий;Диагональ экрана: 6.5Оперативная память: 3 ГБВстроенная память: 32 ГБРазрешение основной камеры: 8Процессор: Helio P35 (8 ядер), 2.3 ГГц;10910
Смартфон Poco X3 Pro 6/128GB, черный;Диагональ экрана: 6.67Оперативная память: 6 ГБВстроенная память: 128 ГБРазрешение основной камеры: 48Процессор: Snapdragon 860 (8 ядер), 2.96 ГГц;20990
Смартфон ZTE Blade L8 1/32GB, синий;Диагональ экрана: 5Оперативная память: 1 ГБВстроенная память: 32 ГБРазрешение основной камеры: 8Процессор: SC7731E (4 ядра), 1.3 ГГц;4480
Смартфон Xiaomi Redmi 9A 2/32GB, зеленый;Диагональ экрана: 6.53Оперативная память: 2 ГБВстроенная память: 32 ГБРазрешение основной камеры: 13Процессор: Helio G25 (8 ядер), 2.0 ГГц;7683
Смартфон HTC Wildfire E 2 4/64GB, синий;Диагональ экрана: 6.2Оперативная память: 4 ГБВстроенная память: 64 ГБРазрешение основной камеры: 16Процессор: Helio P22 (8 ядер), 1.8 ГГц;9671
Смартфон Poco X3 Pro 6/128GB, черный;Диагональ экрана: 6.67Оперативная память: 6 ГБВстроенная память: 128 ГБРазрешение основной камеры: 48Беспроводные интерфейсы: Bluetooth, GPS, NFC, Wi-Fi, ИК-порт;21272
Смартфон Xiaomi Redmi 9T 4/128GB, серый;Диагональ экрана: 6.53Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 48Процессор: Snapdragon 662 (8 ядер), 2.0 ГГц;16990
Смартфон Samsung Galaxy A02s 3/32GB, черный;Диагональ экрана: 6.5Оперативная память: 3 ГБВстроенная память: 32 ГБРазрешение основной камеры: 5Процессор: Snapdragon 450 (8 ядер), 1.8 ГГц;9860
Смартфон Vivo Y31 4/128GB, синий;Диагональ экрана: 6.58Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 48Процессор: Snapdragon 662 (8 ядер), 2.0 ГГц;14990
Смартфон Poco M3 4/64GB, синий;Диагональ экрана: 6.53Оперативная память: 4 ГБВстроенная память: 64 ГБРазрешение основной камеры: 48Процессор: Snapdragon 662 (8 ядер), 2.0 ГГц;11980
Смартфон Xiaomi Redmi 9A 2/32GB, синий;Диагональ экрана: 6.53Оперативная память: 2 ГБВстроенная память: 32 ГБРазрешение основной камеры: 13Процессор: MediaTek MT8765 (4 ядра), 1.3 ГГц;7700
Смартфон Apple iPhone 11 64GB, белый;Диагональ экрана: 6.1Оперативная память: 4 ГБВстроенная память: 64 ГБРазрешение основной камеры: 12Процессор: A13 Bionic (6 ядер), 2.65 ГГц;47764
Смартфон HTC Wildfire E lite 2/16GB, черный;Диагональ экрана: 5.45Оперативная память: 2 ГБВстроенная память: 16 ГБРазрешение основной камеры: 8Процессор: MT6761D (4 ядра), 1.8 ГГц;6590
Смартфон Xiaomi Redmi 9A 2/32GB, серый, темно-серый;Диагональ экрана: 6.53Оперативная память: 2 ГБВстроенная память: 32 ГБРазрешение основной камеры: 13Процессор: Helio G25 (8 ядер), 2.0 ГГц;7700
Смартфон Xiaomi Mi 11 lite 8/128GB, черный;Диагональ экрана: 6.55Оперативная память: 8 ГБВстроенная память: 128 ГБРазрешение основной камеры: 64Процессор: Snapdragon 720G (8 ядер), 2.3 ГГц;30050
Смартфон Nokia 2.4 Dual Sim 3/64GB, синий;Диагональ экрана: 6.5Оперативная память: 3 ГБВстроенная память: 64 ГБРазрешение основной камеры: 13Процессор: Helio P22 (8 ядер), 2.0 ГГц;9451
Смартфон Apple iPhone 11 64GB, зеленый;Диагональ экрана: 6.1Оперативная память: 4 ГБВстроенная память: 64 ГБРазрешение основной камеры: 12Процессор: A13 Bionic (6 ядер), 2.65 ГГц;47764
Смартфон Poco M3 4/64GB, желтый J19C;Диагональ экрана: 6.53Оперативная память: 4 ГБВстроенная память: 64 ГБРазрешение основной камеры: 48Процессор: Snapdragon 662 (8 ядер), 2.0 ГГц;12006
Смартфон Xiaomi Redmi Note 10 4/64GB, зеленый;Диагональ экрана: 6.43Оперативная память: 4 ГБВстроенная память: 64 ГБРазрешение основной камеры: 48Процессор: Snapdragon 678 (8 ядер), 2.2 ГГц;17990
Смартфон Samsung Galaxy A12 4/128GB, красный;Диагональ экрана: 6.5Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 48Процессор: MT6765 (8 ядер), 2.3 ГГц;15970
Смартфон Honor 9A 3/64GB, черный;Диагональ экрана: 6.3Оперативная память: 3 ГБВстроенная память: 64 ГБРазрешение основной камеры: 13Процессор: MT6762R (8 ядер), 2.0 ГГц;10990
Смартфон Apple iPhone 12 Pro 128GB, тихоокеанский синий;Диагональ экрана: 6.1Оперативная память: 6 ГБВстроенная память: 128 ГБРазрешение основной камеры: 12Процессор: A14 Bionic (6 ядер), 2.66 ГГц;94891
